trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.98673658479446,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.3910702548832,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,1,-136.70063993591546,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.49872783779436,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,19,2.999982191511936,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-206.86801039627014,"{0: 20, 1: 0, 2: 5, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.11483823688434,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.10071660929691,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.00041047666667,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,6,-93.04621274319695,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.14583948046767,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,10,-101.3332375472579,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-186.6722359131651,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.92536653684124,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-109.85002613995293,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-315.693587932596,"{0: 13, 1: 5, 2: 3, 3: 4, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.95261476463395,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-287.2841848124197,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 6}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.14241612922024,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.72278096296502,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-114.59567886048963,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.57165533488829,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.97731048504625,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.98714828980928,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.20360451974864,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-60.50878889377818,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-102.05641093529655,"{0: 21, 1: 5, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-65.35960144353896,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,6,-123.65952996325599,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,15,-61.46889435919719,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
